manzent,predios_estrategicos,num_predios_estrategicos,tipo_control,num_combis_consideradas,num_combis_disponibles,num_predios_considerados,num_predios_disponibles
13101011001006,"[131010001600093, 131010001600094]",2,sin_control,1,1,2,2
13101011005003,"[131010015100111, 131010015100112]",2,sin_control,1,1,2,2
13101021001009,"[131010025300017, 131010025300018]",2,sin_control,1,1,2,2
13101021001014,"[131010023300052, 131010023300053]",2,sin_control,1,1,2,2
13101021003001,[131340121300030],1,sin_control,50,260,10,12
13101021005039,"[131340003200011, 131340003200012, 131340003200014, 131340003200015]",4,sin_control,1,1,4,4
13101021008009,"[131340016200003, 131340016200004]",2,sin_control,1,1,2,2
13101031002004,"[131010023600027, 131010023600028, 131010023600029, 131010023600030]",4,sin_control,1,1,4,4
13101031005002,[131340011000023],1,sin_control,20,20,5,5
13101031007002,"[131010005300012, 131010005300013, 131010005300027, 131010005300028]",4,sin_control,1,1,4,4
13101031007005,"[131010004600038, 131010004600040]",2,sin_control,1,1,2,2
13101041001004,"[131340029000026, 131340029000027]",2,sin_control,2,2,4,4
13101041002006,"[131340042000023, 131340042000024, 131340042000025]",3,sin_control,3,3,5,5
13101041003001,[131010019700026],1,sin_control,7,7,9,9
13101041003003,[131010014500044],1,sin_control,14,14,6,6
13101041005003,"[131010009100011, 131010009100012]",2,sin_control,1,1,2,2
13101041005011,[131010006200016],1,sin_control,6,6,7,7
13101041005012,"[131010006400008, 131010006400009, 131010006400010]",3,sin_control,3,3,5,5
13101051001006,"[131340046800022, 131340046800023, 131340046800024]",3,sin_control,6,6,8,8
13101051002017,"[131340044700002, 131340044700003]",2,sin_control,2,2,4,4
13101051002018,"[131340044400032, 131340044400033, 131340044400034, 131340044400035]",4,sin_control,3,3,6,6
13101051002019,[131340044300011],1,sin_control,14,14,13,13
13101051002022,"[131340047500026, 131340047500027, 131340047500028]",3,sin_control,4,4,9,9
13101051002024,[131010047800079],1,sin_control,50,137,11,11
13101051003009,"[131340040900026, 131340040900027, 131340040900028, 131340040900029]",4,sin_control,5,5,7,7
13101071001012,[131340007600010],1,con_control,3,3,3,3
13101071002003,"[131340011500027, 131340011500028]",2,sin_control,9,9,7,7
13101071002012,"[131340014800008, 131340014800009]",2,sin_control,4,4,9,9
13101071002014,"[131340017700007, 131340017700008]",2,sin_control,1,1,2,2
13101071002017,[131340017200005],1,con_control,3,3,3,3
13101071002020,"[131340020800021, 131340020800024, 131340020800025, 131340020800026, 131340020800028]",5,sin_control,3,3,11,11
13101071003002,[131340020200043],1,con_control,3,3,4,4
13101081002009,"[131340016700004, 131340016700013, 131340016700014, 131340016700015, 131340016700016, 131340016700017]",6,sin_control,2,2,7,7
13101081002011,"[131340016900005, 131340016900006]",2,sin_control,2,2,3,3
13101081002012,[131340017000012],1,sin_control,6,6,11,11
13101081002013,"[131340017100002, 131340017100003, 131340017100004]",3,sin_control,1,1,3,3
13101081002014,"[131340020100038, 131340020100041, 131340020100042, 131340020100043]",4,sin_control,3,3,7,7
13101081002016,"[131340019900034, 131340019900035, 131340019900036, 131340019900037]",4,sin_control,4,4,7,7
13101081004005,"[131340011100018, 131340011100019, 131340011100020]",3,sin_control,3,3,9,9
13101091002003,"[131010026400008, 131010026400009]",2,sin_control,1,1,2,2
13101091002007,"[131010024400048, 131010024400049]",2,sin_control,1,1,2,2
13101091003001,"[131340019500041, 131340019500042]",2,sin_control,1,1,2,2
13101091004006,"[131340009900016, 131340009900017]",2,sin_control,5,5,7,7
13101101002001,"[131010034700042, 131010034700043]",2,sin_control,2,2,4,4
13101101004001,"[131010042400011, 131010042400012, 131010042400022]",3,sin_control,1,1,3,3
13101101007002,[131010058000020],1,con_control,10,10,9,9
13101101010001,"[131010067500001, 131010067500032, 131010067500033]",3,sin_control,1,1,3,3
13101101010003,"[131010067200035, 131010067200036, 131010067200037]",3,sin_control,3,3,11,11
13101111007001,"[131010059300025, 131010059300026, 131010059300029, 131010059300030, 131010059300031, 131010059300032]",6,sin_control,2,2,8,8
13101111008001,"[131010062600015, 131010062600016]",2,sin_control,6,6,6,6
13101111009002,[131010069000013],1,con_control,3,3,3,3
13101111009003,[131010068800005],1,sin_control,25,25,16,16
13101111009004,[131010068500004],1,sin_control,8,8,9,9
13101111009005,"[131010068600013, 131010068600014, 131010068600015, 131010068600016]",4,sin_control,2,2,5,5
13101111011001,"[131010058900017, 131010058900033]",2,sin_control,1,1,2,2
13101111011002,[131010061900007],1,sin_control,15,15,10,10
13101111012002,[131010046000008],1,con_control,3,3,3,3
13101111012004,"[131010046300001, 131010046300002, 131010046300026]",3,sin_control,1,1,3,3
13101111012005,"[131010046300010, 131010046300011]",2,sin_control,1,1,2,2
13101111016001,"[131010045700007, 131010045700008, 131010045700009, 131010045700026]",4,sin_control,3,3,6,6
13101111018001,[131010058700022],1,sin_control,6,6,4,4
13101111018002,"[131010061700035, 131010061700036, 131010061700037, 131010061700054]",4,sin_control,1,1,4,4
13101111019003,"[131010068200003, 131010068200004]",2,sin_control,1,1,2,2
13101111019006,"[131010067700006, 131010067700007]",2,sin_control,5,5,9,9
13101121001005,"[131010033500007, 131010033500008, 131010033500009]",3,sin_control,1,1,3,3
13101121004007,"[131010070400009, 131010070400010]",2,sin_control,2,2,5,5
13101121005005,[131010069900004],1,sin_control,19,19,19,19
13101121006001,"[131010052900021, 131010052900023, 131010052900024]",3,sin_control,1,1,3,3
13101121006002,"[131010059700012, 131010059700013]",2,sin_control,2,2,3,3
13101121007003,"[131010052600009, 131010052600010, 131010052600011, 131010052600012, 131010052600013]",5,sin_control,1,1,5,5
13101121008001,"[131010047200004, 131010047200005]",2,sin_control,1,1,2,2
13101121009001,[131340047700007],1,sin_control,46,46,6,6
13101131007004,"[131010044800015, 131010044800016]",2,sin_control,2,2,4,4
13101131007006,"[131010049600006, 131010049600007, 131010049600008]",3,sin_control,2,2,4,4
13101141001002,[131350279200018],1,sin_control,5,5,9,9
13101141001003,"[131350278800005, 131350278800006]",2,sin_control,6,6,8,8
13101141001005,"[131350278400018, 131350278400019]",2,sin_control,5,5,14,14
13101141001006,"[131350278200019, 131350278200020, 131350278200021, 131350278200022, 131350278200023, 131350278200024]",6,sin_control,2,2,7,7
13101141001007,"[131350278300029, 131350278300030, 131350278300031]",3,sin_control,8,8,12,12
13101141001008,[131350278700007],1,sin_control,5,5,10,10
13101141001009,[131350278700038],1,sin_control,14,14,6,6
13101141001010,[131350279000010],1,con_control,11,11,9,9
13101141001011,"[131350279300023, 131350279300024, 131350279300025, 131350279300026, 131350279300027]",5,sin_control,1,1,5,5
13101141001012,"[131350278900022, 131350278900023]",2,sin_control,1,1,2,2
13101141001014,"[131350285800010, 131350285800011, 131350285800028, 131350285800035]",4,sin_control,2,2,10,10
13101141001015,[131350285700028],1,sin_control,14,14,16,16
13101141001016,[131350285000025],1,sin_control,25,25,23,23
13101141001017,"[131350284700024, 131350284700025, 131350284700026, 131350284700027]",4,sin_control,4,4,9,9
13101141001018,"[131350284900005, 131350284900006, 131350284900007]",3,sin_control,5,5,10,10
13101141001019,"[131350285100006, 131350285100007, 131350285100008]",3,sin_control,4,4,9,9
13101141001022,"[131350285600003, 131350285600005, 131350285600006, 131350285600007, 131350285600008, 131350285600014]",6,sin_control,2,2,8,8
13101141002001,[131350277900024],1,sin_control,15,15,22,22
13101141002002,"[131350277700001, 131350277700002, 131350277700008]",3,sin_control,2,2,4,4
13101141002007,"[131350277800005, 131350277800006]",2,sin_control,4,4,7,7
13101141002008,[131350278000009],1,sin_control,30,30,18,18
13101141002013,"[131350283900016, 131350283900017, 131350283900018, 131350283900034, 131350283900035]",5,sin_control,1,1,5,5
13101141002014,"[131350284000006, 131350284000007]",2,sin_control,1,1,2,2
13101141002015,[131350284500017],1,sin_control,19,19,16,16
13101141003001,[131350283500037],1,sin_control,19,19,11,11
13101141003002,"[131350283300005, 131350283300021]",2,sin_control,5,5,8,8
13101141003003,"[131350283600004, 131350283600005]",2,sin_control,4,4,8,8
13101141003005,"[131350283200001, 131350283200012, 131350283200013]",3,sin_control,2,2,7,7
13101141003006,"[131350283400001, 131350283400003, 131350283400013]",3,sin_control,2,2,4,4
13101141003008,"[131350283800009, 131350283800010, 131350283800011]",3,sin_control,1,1,3,3
13101151001003,"[131350280100071, 131350280100072, 131350280100073]",3,sin_control,1,1,3,3
13101151001005,"[131350279900006, 131350279900007]",2,sin_control,2,2,3,3
13101151001006,[131350279500019],1,sin_control,10,10,6,6
13101151001007,[131350279600007],1,sin_control,6,6,15,15
13101151001008,[131350280000032],1,sin_control,10,10,11,11
13101151001009,[131350280200006],1,sin_control,12,12,9,9
13101151001010,[131350280400003],1,sin_control,4,4,5,5
13101151001011,"[131350280600008, 131350280600009]",2,sin_control,1,1,2,2
13101151001013,[131350287100006],1,sin_control,5,5,8,8
13101151001014,"[131350286900011, 131350286900012, 131350286900013, 131350286900014, 131350286900015]",5,sin_control,1,1,5,5
13101151001015,[131350286600026],1,sin_control,5,5,7,7
13101151001016,"[131350286400015, 131350286400016, 131350286400017, 131350286400018, 131350286400019, 131350286400020, 131350286400021, 131350286400022, 131350286400023, 131350286400024, 131350286400025]",11,sin_control,1,1,11,11
13101151001017,"[131350286500004, 131350286500005]",2,sin_control,4,4,14,14
13101151001018,"[131350286700009, 131350286700010]",2,sin_control,3,3,7,7
13101151001019,[131350286800009],1,sin_control,8,8,9,9
13101151001020,[131350287000007],1,sin_control,9,9,10,10
13101151002003,"[131350282000016, 131350282000017, 131350282000018, 131350282000019, 131350282000020, 131350282000021]",6,sin_control,3,3,9,9
13101151002004,"[131350281900007, 131350281900008, 131350281900009, 131350281900010, 131350281900011, 131350281900013]",6,sin_control,1,1,6,6
13101151002005,"[131350282100027, 131350282100028]",2,sin_control,2,2,4,4
13101151002006,"[131350289100009, 131350289100010]",2,sin_control,1,1,2,2
13101151002007,[131350288800003],1,con_control,3,3,4,4
13101151002008,"[131350288900091, 131350288900092]",2,sin_control,4,4,8,8
13101151003002,"[131350281800005, 131350281800006]",2,sin_control,3,3,5,5
13101151003006,[131350281300014],1,sin_control,15,15,12,12
13101151003009,[131350281700020],1,sin_control,23,23,14,14
13101151003010,"[131350288600030, 131350288600031]",2,sin_control,6,6,14,14
13101151003011,"[131350288400022, 131350288400023, 131350288400024]",3,sin_control,3,3,5,5
13101151003014,"[131350288500019, 131350288500020, 131350288500021]",3,sin_control,4,4,8,8
13101151003015,"[131350288700006, 131350288700007]",2,sin_control,2,2,6,6
13101151004010,"[131350287700108, 131350287700109, 131350287700110, 131350287700111]",4,sin_control,1,1,4,4
13101161001002,"[131350300300012, 131350300300024]",2,sin_control,2,2,3,3
13101161001003,"[131350300200060, 131350300200061, 131350300200062, 131350300200063, 131350300200064, 131350300200067]",6,sin_control,1,1,6,6
13101161001004,"[131350303200018, 131350303200019, 131350303200020, 131350303200038, 131350303200039, 131350303200040]",6,sin_control,2,2,7,7
13101161002001,"[131350304100006, 131350304100030]",2,sin_control,7,7,21,21
13101161002002,"[131350304000011, 131350304000012]",2,sin_control,3,3,8,8
13101161002004,[131350309200022],1,sin_control,5,5,12,12
13101161002005,[131350309300074],1,sin_control,10,10,11,11
13101161002007,"[131350312900002, 131350312900003, 131350312900004, 131350312900005]",4,sin_control,4,4,15,15
13101161002008,[131350313000020],1,sin_control,7,7,12,12
13101161002009,[131350313100021],1,sin_control,29,29,18,18
13101161002010,[131350313200022],1,sin_control,13,13,23,23
13101161002011,[131350313300003],1,sin_control,24,24,26,26
13101161002012,"[131350313400004, 131350313400005]",2,sin_control,12,12,14,14
13101161002013,"[131350316500005, 131350316500015]",2,sin_control,6,6,11,11
13101161002014,[131350316400005],1,con_control,7,7,9,9
13101161002015,"[131350316300010, 131350316300011]",2,sin_control,6,6,19,19
13101161002016,[131350316200016],1,con_control,14,14,12,12
13101161002017,[131350316100016],1,sin_control,13,13,14,14
13101161002018,[131350316000014],1,sin_control,23,23,15,15
13101161002019,[131350339400005],1,sin_control,10,10,19,19
13101161002020,[131350339800011],1,sin_control,22,22,14,14
13101161002021,[131350340200013],1,sin_control,44,44,29,29
13101161002022,[131350340600034],1,sin_control,28,28,23,23
13101161002023,[131350341000034],1,sin_control,7,7,10,10
13101161002024,[131350341400028],1,sin_control,26,26,23,23
13101161002025,"[131350341800008, 131350341800009, 131350341800010, 131350341800011]",4,sin_control,2,2,5,5
13101161002026,"[131350342000001, 131350342000002, 131350342000013, 131350342000014, 131350342000015]",5,sin_control,1,1,5,5
13101161002027,"[131350341600003, 131350341600004, 131350341600005]",3,sin_control,6,6,13,13
13101161002028,[131350341200006],1,sin_control,14,14,14,14
13101161002029,"[131350340800016, 131350340800017, 131350340800018]",3,sin_control,4,4,11,11
13101161002030,[131350340400007],1,con_control,8,8,12,12
13101161002031,"[131350340000021, 131350340000022, 131350340000023]",3,sin_control,3,3,5,5
13101161002032,[131350339700021],1,sin_control,8,8,16,16
13101161002033,"[131350340100023, 131350340100024, 131350340100025, 131350340100026]",4,sin_control,3,3,6,6
13101161002034,[131350340500008],1,sin_control,6,6,12,12
13101161002035,"[131350340900002, 131350340900003, 131350340900004, 131350340900005, 131350340900006]",5,sin_control,1,1,5,5
13101161002036,[131350341300023],1,sin_control,25,25,20,20
13101161002037,[131350341700005],1,sin_control,27,27,23,23
13101161003001,Int64[],0,sin_control,50,78,52,52
13101161003002,"[131350315700015, 131350315700016]",2,sin_control,4,4,7,7
13101161003003,[131350338800011],1,sin_control,10,10,15,15
13101161003004,"[131350339200025, 131350339200026]",2,sin_control,7,7,17,17
13101171001003,"[131350301500005, 131350301500006, 131350301500028]",3,sin_control,1,1,3,3
13101171001005,"[131350301300002, 131350301300003, 131350301300004, 131350301300005]",4,sin_control,3,3,12,12
13101171001008,"[131350300900003, 131350300900004, 131350300900005, 131350300900006]",4,sin_control,3,3,14,14
13101171001009,[131350300800007],1,sin_control,26,26,18,18
13101171001010,"[131350300700004, 131350300700005, 131350300700006, 131350300700007]",4,sin_control,6,6,12,12
13101171001011,[131350300600007],1,sin_control,6,6,14,14
13101171001012,[131350300500026],1,sin_control,14,14,15,15
13101171001013,[131350304200031],1,sin_control,17,17,15,15
13101171001014,"[131350304300023, 131350304300024]",2,sin_control,10,10,14,14
13101171001015,"[131350304400005, 131350304400023]",2,sin_control,9,9,22,22
13101171001016,[131350304500022],1,sin_control,8,8,12,12
13101171001017,[131350304600010],1,sin_control,50,51,32,32
13101171001018,"[131350304700033, 131350304700034, 131350304700035, 131350304700036]",4,sin_control,5,5,17,17
13101171001019,"[131350304800027, 131350304800028, 131350304800029]",3,sin_control,5,5,7,7
13101171001020,[131350304900012],1,sin_control,39,39,18,18
13101171001029,[131350310600003],1,sin_control,33,33,21,21
13101171001037,"[131350310400001, 131350310400002, 131350310400003, 131350310400004, 131350310400005]",5,sin_control,1,1,5,5
13101171001038,"[131350307300001, 131350307300002, 131350307300003, 131350307300004]",4,sin_control,3,3,6,6
13101171001039,[131350307200015],1,sin_control,8,8,9,9
13101171001043,[131350310200017],1,sin_control,12,12,8,8
13101171001044,[131350307100021],1,con_control,9,9,12,12
13101171001045,[131350307000006],1,sin_control,5,5,16,16
13101171001046,[131350310100010],1,sin_control,27,27,19,19
13101171001047,[131350306900036],1,sin_control,50,57,30,32
13101171001048,[131350306800004],1,sin_control,50,66,35,40
13101171001049,[131350306700010],1,sin_control,50,72,34,35
13101171001050,[131350306600012],1,sin_control,21,21,21,21
13101171001051,[131350306500017],1,sin_control,50,51,35,35
13101171001052,[131350306400006],1,sin_control,28,28,27,27
13101171002001,"[131350314200018, 131350314200029]",2,sin_control,4,4,11,11
13101171002004,"[131350313900001, 131350313900017, 131350313900018, 131350313900019]",4,sin_control,1,1,4,4
13101171002007,"[131350313800002, 131350313800003]",2,sin_control,2,2,4,4
13101171002014,"[131350317400027, 131350317400028, 131350317400029, 131350317400030, 131350317400031, 131350317400032, 131350317400033, 131350317400034]",8,sin_control,3,3,10,10
13101171002017,[131350345000006],1,sin_control,8,8,12,12
13101171002018,[131350344600019],1,sin_control,8,8,10,10
13101171002019,[131350344200004],1,sin_control,14,14,6,6
13101171003001,"[131350313700004, 131350313700005, 131350313700012, 131350313700013, 131350313700014]",5,sin_control,3,3,7,7
13101171003002,[131350313600006],1,sin_control,26,26,21,21
13101171003003,[131350313500019],1,sin_control,18,18,17,17
13101171003004,[131350316600012],1,sin_control,22,22,17,17
13101171003005,[131350316700013],1,sin_control,22,22,17,17
13101171003006,[131350316800017],1,sin_control,14,14,16,16
13101171003007,"[131350316900005, 131350316900006, 131350316900007, 131350316900008]",4,sin_control,1,1,4,4
13101171003008,"[131350343200021, 131350343200022]",2,sin_control,4,4,13,13
13101171003009,[131350342800008],1,sin_control,19,19,19,19
13101171003010,[131350342400005],1,sin_control,50,79,33,34
13101171003011,[131350342100010],1,sin_control,25,25,26,26
13101171003012,"[131350342200001, 131350342200004, 131350342200005, 131350342200013, 131350342200014, 131350342200015, 131350342200016, 131350342200017, 131350342200018]",9,sin_control,1,1,9,9
13101171003013,"[131350342600007, 131350342600008, 131350342600019, 131350342600020]",4,sin_control,1,1,4,4
13101171003014,"[131350343000013, 131350343000014, 131350343000015, 131350343000016]",4,sin_control,3,3,10,10
13101171003016,"[131350343800004, 131350343800005, 131350343800006, 131350343800016, 131350343800017]",5,sin_control,2,2,15,15
13101171003017,"[131350343900001, 131350343900002, 131350343900003, 131350343900014, 131350343900015, 131350343900016]",6,sin_control,3,3,12,12
13101171003019,"[131350344800006, 131350344800015]",2,sin_control,6,6,7,7
13101171003020,"[131350345200003, 131350345200004]",2,sin_control,6,6,15,15
13101171003021,"[131350345500023, 131350345500024, 131350345500025]",3,sin_control,3,3,11,11
13101171003024,[131350345300013],1,sin_control,8,8,9,9
13101171003025,"[131350344900004, 131350344900013]",2,sin_control,2,2,4,4
13101171003026,[131350344500009],1,sin_control,12,12,15,15
13101171003028,"[131350344000008, 131350344000009, 131350344000010, 131350344000011, 131350344000012, 131350344000026]",6,sin_control,2,2,16,16
13101171003030,[131350343100006],1,con_control,9,9,8,8
13101171003031,"[131350342700003, 131350342700004, 131350342700005, 131350342700006]",4,sin_control,3,3,6,6
13101171003032,[131350342300008],1,sin_control,16,16,14,14
13101181001002,[131350302000016],1,sin_control,5,5,6,6
